B99162_001E,B99162_002E,B99162_003E,B99162_004E,B99162_005E,B99162_006E,B99162_007E,B99162_001EA,B99162_002EA,B99162_003EA,B99162_004EA,B99162_005EA,B99162_006EA,B99162_007EA,state
19494972,13884663,5610309,417889,351789,66100,5192420,null,null,null,null,null,null,null,12
9655493,8304044,1351449,102771,80169,22602,1248678,null,null,null,null,null,null,null,13
1337835,983020,354815,37233,28195,9038,317582,null,null,null,null,null,null,null,15
1568997,1398989,170008,15264,11645,3619,154744,null,null,null,null,null,null,null,16
12032049,9270805,2761244,201175,157086,44089,2560069,null,null,null,null,null,null,null,17
6212686,5669872,542814,56903,41972,14931,485911,null,null,null,null,null,null,null,18
2937206,2711052,226154,23746,15593,8153,202408,null,null,null,null,null,null,null,19
2709883,2393978,315905,27704,19964,7740,288201,null,null,null,null,null,null,null,20
4164025,3946958,217067,19483,9608,9875,197584,null,null,null,null,null,null,null,21
4374703,4021725,352978,28261,19641,8620,324717,null,null,null,null,null,null,null,22
1267538,1189137,78401,6778,3390,3388,71623,null,null,null,null,null,null,null,23
5653552,4584484,1069068,101362,82108,19254,967706,null,null,null,null,null,null,null,24
6452005,4924776,1527229,138493,101522,36971,1388736,null,null,null,null,null,null,null,25
9356637,8464804,891833,84158,54568,29590,807675,null,null,null,null,null,null,null,26
5168872,4571145,597727,60557,39892,20665,537170,null,null,null,null,null,null,null,27
2801896,2694220,107676,13467,6556,6911,94209,null,null,null,null,null,null,null,28
5721468,5363298,358170,37276,22260,15016,320894,null,null,null,null,null,null,null,29
981377,944993,36384,5326,2662,2664,31058,null,null,null,null,null,null,null,30
1774959,1571131,203828,22742,17458,5284,181086,null,null,null,null,null,null,null,31
2756697,1910576,846121,59347,47333,12014,786774,null,null,null,null,null,null,null,32
1270317,1172158,98159,9279,5258,4021,88880,null,null,null,null,null,null,null,33
8424299,5751880,2672419,211297,176161,35136,2461122,null,null,null,null,null,null,null,34
1955889,1281601,674288,42325,36553,5772,631963,null,null,null,null,null,null,null,35
18586270,12816515,5769755,553276,463151,90125,5216479,null,null,null,null,null,null,null,36
9552195,8449589,1102606,96157,72282,23875,1006449,null,null,null,null,null,null,null,37
703055,666166,36889,5565,3171,2394,31324,null,null,null,null,null,null,null,38
10921628,10160377,761251,73002,42579,30423,688249,null,null,null,null,null,null,null,39
3659465,3284055,375410,35430,24906,10524,339980,null,null,null,null,null,null,null,40
3858883,3272134,586749,51712,37983,13729,535037,null,null,null,null,null,null,null,41
12074484,10711759,1362725,140550,97495,43055,1222175,null,null,null,null,null,null,null,42
1002282,774234,228048,17811,12740,5071,210237,null,null,null,null,null,null,null,44
4671107,4352744,318363,31248,21427,9821,287115,null,null,null,null,null,null,null,45
804562,752497,52065,5152,2822,2330,46913,null,null,null,null,null,null,null,46
6247026,5809996,437030,36516,23232,13284,400514,null,null,null,null,null,null,null,47
25855685,16638877,9216808,563486,485695,77791,8653322,null,null,null,null,null,null,null,48
2797795,2370313,427482,26155,19469,6686,401327,null,null,null,null,null,null,null,49
594130,561274,32856,3849,2126,1723,29007,null,null,null,null,null,null,null,50
7908026,6624859,1283167,121549,97195,24354,1161618,null,null,null,null,null,null,null,51
6838056,5519246,1318810,111159,88600,22559,1207651,null,null,null,null,null,null,null,53
1729434,1686034,43400,6307,3331,2976,37093,null,null,null,null,null,null,null,54
5444618,4967315,477303,47157,30913,16244,430146,null,null,null,null,null,null,null,55
547628,505837,41791,2796,1465,1331,38995,null,null,null,null,null,null,null,56
3251554,185182,3066372,114210,104495,9715,2952162,null,null,null,null,null,null,null,72
4576657,4342451,234206,24524,16025,8499,209682,null,null,null,null,null,null,null,01
689399,575378,114021,10548,7585,2963,103473,null,null,null,null,null,null,null,02
6494749,4736134,1758615,163555,142520,21035,1595060,null,null,null,null,null,null,null,04
2799532,2595724,203808,18115,11190,6925,185693,null,null,null,null,null,null,null,05
36767595,20379282,16388313,1363662,1211443,152219,15024651,null,null,null,null,null,null,null,06
5205474,4316272,889202,94832,78222,16610,794370,null,null,null,null,null,null,null,08
3391423,2622432,768991,67403,51600,15803,701588,null,null,null,null,null,null,null,09
896824,780876,115948,8404,5809,2595,107544,null,null,null,null,null,null,null,10
637624,528344,109280,13982,11815,2167,95298,null,null,null,null,null,null,null,11
